Reporter Name,Trade Flow,Product Group,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Afghanistan,Export,Chemicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.838,93.838
Afghanistan,Import,Chemicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.838,93.838
Afghanistan,Export,Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7723.624,580.442,2999.555,1237.319,2029.606,381.0,542.27,4389.425,19883.241
Afghanistan,Import,Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7723.624,580.442,2999.555,1237.319,2029.606,381.0,542.27,4389.425,19883.241
Afghanistan,Export,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,1.92
Afghanistan,Import,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,1.92
Afghanistan,Export,All Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080131.188,806882.012,776967.274,751697.15,857805.42,1029945.966,1141068.014,1142809.936,7587306.96
Afghanistan,Import,All Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080131.188,806882.012,776967.274,751697.15,857805.42,1029945.966,1141068.014,1142809.936,7587306.96
Afghanistan,Export,Mach and Elec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Import,Mach and Elec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Export,Fuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39432.154,39432.154
Afghanistan,Import,Fuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39432.154,39432.154
Afghanistan,Export,Food Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.874,0.0,0.0,0.0,0.0,0.0,0.0,476.79,3357.664
Afghanistan,Import,Food Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.874,0.0,0.0,0.0,0.0,0.0,0.0,476.79,3357.664
Afghanistan,Export,Textiles and Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299245.82,135719.81,140032.126,98232.32,145518.25,146451.476,167987.308,180368.484,1313555.594
Afghanistan,Import,Textiles and Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299245.82,135719.81,140032.126,98232.32,145518.25,146451.476,167987.308,180368.484,1313555.594
Afghanistan,Export,Plastic or Rubber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Import,Plastic or Rubber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Export,Minerals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.31,2138.561,2298.602,0.0,0.0,0.0,12173.814,17724.287
Afghanistan,Import,Minerals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.31,2138.561,2298.602,0.0,0.0,0.0,12173.814,17724.287
Albania,Export,Chemicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4390.874,1873.03,1465.108,1423.794,2870.631,6031.874,3277.927,4980.976,4430.799,5995.551,3610.46,6195.056,6986.014,11942.503,10869.547,28851.653,14623.434,23363.395,10092.341,16246.065,169521.032
Albania,Import,Chemicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4390.874,1873.03,1465.108,1423.794,2870.631,6031.874,3277.927,4980.976,4430.799,5995.551,3610.46,6195.056,6986.014,11942.503,10869.547,28851.653,14623.434,23363.395,10092.341,16246.065,169521.032
Albania,Export,Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13490.618,7775.922,8291.258,6830.128,3853.933,4535.888,4321.941,5449.914,5062.042,7500.733,10952.111,16074.701,39487.403,37667.764,43918.289,47885.378,56152.296,34898.003,6707.502,38877.929,399733.753
Albania,Import,Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13490.618,7775.922,8291.258,6830.128,3853.933,4535.888,4321.941,5449.914,5062.042,7500.733,10952.111,16074.701,39487.403,37667.764,43918.289,47885.378,56152.296,34898.003,6707.502,38877.929,399733.753
Albania,Export,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17187.97,17887.882,16937.598,22993.74,19985.732,20862.611,23050.016,36757.573,33198.18,41496.532,51173.573,67229.139,86964.301,72321.465,92042.207,90253.61,99042.367,151558.25,127853.658,130470.708,1219267.112
Albania,Import,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17187.97,17887.882,16937.598,22993.74,19985.732,20862.611,23050.016,36757.573,33198.18,41496.532,51173.573,67229.139,86964.301,72321.465,92042.207,90253.61,99042.367,151558.25,127853.658,130470.708,1219267.112
Albania,Export,All Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422280.797,275362.021,415307.604,702195.648,522951.56,609861.401,660482.994,894441.093,1205306.718,1316466.173,1585256.483,2150630.09,2681763.9,2161413.143,3099873.352,3880049.154,3919237.398,4632964.521,4827994.593,3831842.313,39795680.956
Albania,Import,All Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422280.797,275362.021,415307.604,702195.648,522951.56,609861.401,660482.994,894441.093,1205306.718,1316466.173,1585256.483,2150630.09,2681763.9,2161413.143,3099873.352,3880049.154,3919237.398,4632964.521,4827994.593,3831842.313,39795680.956
Albania,Export,Mach and Elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6840.498,14513.188,9368.656,29682.438,9448.414,16536.019,16989.932,29368.585,42467.551,49930.736,57220.527,82598.831,99314.492,94578.167,119472.528,133706.483,123695.723,135270.335,34131.856,88740.551,1193875.51
