Reporter Name,Partner Name,Trade Flow,Product Group,Value
Afghanistan,Pakistan,Export,Textiles and Clothing,40981.842
Afghanistan,Turkey,Export,Textiles and Clothing,24466.592
Afghanistan,India,Export,Textiles and Clothing,1745.826
Afghanistan,Germany,Export,Textiles and Clothing,1104.147
Afghanistan,Pakistan,Export,Animal,847.22
Afghanistan,United Arab Emirates,Export,Textiles and Clothing,592.2180000000002
Afghanistan,China,Export,Textiles and Clothing,445.5
Afghanistan,"Iran, Islamic Rep.",Export,Minerals,388.594
Afghanistan,Turkey,Export,Animal,330.12
Afghanistan,Russian Federation,Export,Textiles and Clothing,275.93
Afghanistan,Saudi Arabia,Export,Textiles and Clothing,260.271
Afghanistan,Syrian Arab Republic,Export,Animal,252.0
Afghanistan,China,Export,Minerals,248.283
Afghanistan,United States,Export,Textiles and Clothing,129.58
Afghanistan,United Arab Emirates,Export,Minerals,123.755
Afghanistan,Pakistan,Import,Fuels,662707.144
Afghanistan,United States,Import,Mach and Elec,572359.3589999999
Afghanistan,Russian Federation,Import,Fuels,397221.499
Afghanistan,United Arab Emirates,Import,Mach and Elec,357012.42
Afghanistan,"Iran, Islamic Rep.",Import,Textiles and Clothing,253565.63
Afghanistan,India,Import,Textiles and Clothing,206264.09600000002
Afghanistan,Pakistan,Import,Minerals,185601.445
Afghanistan,"Iran, Islamic Rep.",Import,Food Products,179108.788
Afghanistan,United Arab Emirates,Import,Food Products,164841.542
Afghanistan,"Iran, Islamic Rep.",Import,Chemicals,155379.46300000002
Afghanistan,"Iran, Islamic Rep.",Import,Fuels,143777.24599999998
Afghanistan,Kazakhstan,Import,Fuels,108842.088
Afghanistan,"Iran, Islamic Rep.",Import,Plastic or Rubber,99165.01
Afghanistan,United Kingdom,Import,Mach and Elec,83063.384
Afghanistan,Nigeria,Import,Fuels,81304.78
Albania,Italy,Export,Textiles and Clothing,232410.998
Albania,Italy,Export,Fuels,97346.923
Albania,China,Export,Minerals,84178.76699999999
Albania,Switzerland,Export,Fuels,56848.08900000001
Albania,Spain,Export,Fuels,42233.561
Albania,Italy,Export,Mach and Elec,38293.589
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Fuels,27818.324
Albania,Greece,Export,Textiles and Clothing,27558.837000000003
Albania,Italy,Export,Wood,26742.272
Albania,Italy,Export,Food Products,22988.455
Albania,Germany,Export,Textiles and Clothing,21901.18
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Minerals,18559.714
Albania,Czech Republic,Export,Fuels,14280.684
Albania,Slovenia,Export,Fuels,12387.678
Albania,Italy,Export,Animal,12171.896
Albania,Italy,Import,Mach and Elec,215660.00300000003
Albania,Italy,Import,Textiles and Clothing,213417.988
Albania,Italy,Import,Fuels,173738.581
Albania,Greece,Import,Fuels,151939.441
Albania,Greece,Import,Food Products,73743.523
Albania,Italy,Import,Food Products,67461.52300000003
Albania,Italy,Import,Chemicals,66501.046
Albania,China,Import,Mach and Elec,52331.50199999999
Albania,Germany,Import,Mach and Elec,48547.28400000001
Albania,Greece,Import,Mach and Elec,47242.458
Albania,Italy,Import,Wood,41159.013999999996
Albania,Italy,Import,Plastic or Rubber,40812.109
Albania,Greece,Import,Wood,35138.717000000004
Albania,Turkey,Import,Mach and Elec,34960.554000000004
Albania,Turkey,Import,Textiles and Clothing,34389.741
Algeria,United States,Export,Fuels,13822893.917
Algeria,Italy,Export,Fuels,8694792.356
Algeria,Spain,Export,Fuels,5756708.34
Algeria,Netherlands,Export,Fuels,4142581.483
Algeria,France,Export,Fuels,3650860.955
Algeria,Canada,Export,Fuels,2968670.218000001
Algeria,Turkey,Export,Fuels,2668982.13
Algeria,Brazil,Export,Fuels,2404294.856
Algeria,Belgium,Export,Fuels,1912899.568
Algeria,India,Export,Fuels,1542228.955
Algeria,United Kingdom,Export,Fuels,1281932.481
Algeria,China,Export,Fuels,1157998.566
Algeria,"Korea, Rep.",Export,Fuels,1156886.555
Algeria,Portugal,Export,Fuels,985836.396
Algeria,Morocco,Export,Fuels,683364.05
Algeria,Italy,Import,Mach and Elec,1875502.803
Algeria,France,Import,Mach and Elec,1685928.996
Algeria,France,Import,Chemicals,1186379.504
Algeria,China,Import,Mach and Elec,1096426.987
Algeria,Nigeria,Import,Fuels,617297.343
Algeria,China,Import,Textiles and Clothing,608102.372
Algeria,Germany,Import,Mach and Elec,597517.57
Algeria,Brazil,Import,Food Products,520608.189
Algeria,Japan,Import,Mach and Elec,518022.82
Algeria,United States,Import,Mach and Elec,489671.917
Algeria,Belgium,Import,Mach and Elec,453026.849
Algeria,"Korea, Rep.",Import,Mach and Elec,440976.756
Algeria,Spain,Import,Mach and Elec,414984.76700000005
Algeria,Argentina,Import,Food Products,320018.269
Algeria,Belgium,Import,Animal,268065.12900000013
American Samoa,Fiji,Import,Animal,15626.823999999999
American Samoa,New Zealand,Import,Food Products,5785.076
American Samoa,Indonesia,Import,Chemicals,3597.5890000000004
American Samoa,New Zealand,Import,Animal,2945.671
American Samoa,Fiji,Import,Wood,2776.914
American Samoa,New Zealand,Import,Mach and Elec,2663.6540000000005
American Samoa,New Zealand,Import,Minerals,1859.01
American Samoa,Australia,Import,Animal,1675.9820000000002
American Samoa,Fiji,Import,Food Products,1510.4209999999994
American Samoa,"Korea, Rep.",Import,Plastic or Rubber,1436.9620000000002
American Samoa,New Caledonia,Import,Animal,1388.51
American Samoa,Samoa,Import,Animal,1332.888
American Samoa,Fiji,Import,Chemicals,1256.179
American Samoa,New Zealand,Import,Wood,1229.275
American Samoa,Australia,Import,Food Products,1167.758
Andorra,Spain,Export,Mach and Elec,21443.843
Andorra,Spain,Export,Textiles and Clothing,7553.461999999998
Andorra,Spain,Export,Wood,4936.067999999998
Andorra,Norway,Export,Mach and Elec,3888.599
Andorra,Spain,Export,Chemicals,2023.55
Andorra,France,Export,Textiles and Clothing,1705.6170000000004
Andorra,France,Export,Mach and Elec,1104.221
Andorra,Spain,Export,Plastic or Rubber,976.722
Andorra,Spain,Export,Animal,533.3969999999998
Andorra,France,Export,Wood,528.336
Andorra,"Serbia, FR(Serbia/Montenegro)",Export,Mach and Elec,403.453
Andorra,Spain,Export,Minerals,342.49
Andorra,Netherlands,Export,Mach and Elec,281.914
Andorra,Azerbaijan,Export,Mach and Elec,229.768
Andorra,United Kingdom,Export,Mach and Elec,220.683
Andorra,Nigeria,Import,Fuels,153287.97400000002
Andorra,Spain,Import,Chemicals,135449.88300000006
Andorra,Spain,Import,Mach and Elec,132948.16999999998
Andorra,Spain,Import,Food Products,127407.16199999998
Andorra,Spain,Import,Fuels,109306.013
Andorra,Spain,Import,Textiles and Clothing,84713.965
Andorra,Spain,Import,Animal,59169.247
Andorra,France,Import,Fuels,57079.971
Andorra,France,Import,Chemicals,41928.81099999999
Andorra,Nigeria,Import,Food Products,40664.343
Andorra,France,Import,Textiles and Clothing,37335.745
Andorra,France,Import,Food Products,36651.755
Andorra,Spain,Import,Wood,35967.891999999985
Andorra,France,Import,Mach and Elec,35408.379
Andorra,Spain,Import,Plastic or Rubber,24953.927000000003
Angola,China,Export,Fuels,20916961.037
Angola,United States,Export,Fuels,9965785.888
Angola,India,Export,Fuels,5117824.926
Angola,Canada,Export,Fuels,4039116.578
Angola,France,Export,Fuels,2213064.563
Angola,South Africa,Export,Fuels,1704753.4109999996
Angola,Spain,Export,Fuels,954267.007
Angola,Portugal,Export,Fuels,865929.433
Angola,Netherlands,Export,Fuels,724212.0440000001
Angola,Brazil,Export,Fuels,509259.955
Angola,Peru,Export,Fuels,403724.675
Angola,Unspecified,Export,Fuels,282485.215
Angola,Malaysia,Export,Fuels,237357.325
Angola,Italy,Export,Fuels,219899.568
Angola,Singapore,Export,Fuels,143769.644
Angola,Portugal,Import,Mach and Elec,636958.6039999999
Angola,United States,Import,Mach and Elec,566059.806
Angola,China,Import,Mach and Elec,555398.2930000001
Angola,United Kingdom,Import,Mach and Elec,488131.605
Angola,Portugal,Import,Food Products,417843.50299999997
Angola,Norway,Import,Mach and Elec,372354.17100000003
Angola,India,Import,Fuels,339008.679
Angola,France,Import,Mach and Elec,227765.798
Angola,Brazil,Import,Animal,227576.251
Angola,Brazil,Import,Food Products,207100.603
Angola,Brazil,Import,Mach and Elec,204626.68
Angola,Italy,Import,Mach and Elec,182898.155
Angola,Germany,Import,Mach and Elec,181798.90600000002
Angola,Portugal,Import,Chemicals,158549.63299999994
Angola,United States,Import,Animal,151768.552
Anguila,Angola,Export,Mach and Elec,0.0
Anguila,Mexico,Export,Mach and Elec,0.0
Anguila,Panama,Export,Wood,0.0
Anguila,Panama,Export,Plastic or Rubber,0.0
Anguila,Panama,Export,Food Products,0.0
Anguila,Netherlands,Export,Plastic or Rubber,0.0
Anguila,Netherlands,Export,Minerals,0.0
