Reporter Name,Partner Name,Product Group,2004
Aruba,Netherlands Antilles,All Products,8892.983
Aruba,Antigua and Barbuda,All Products,202.99400000000003
Aruba,Australia,All Products,82.12299999999999
Aruba,Austria,All Products,15.134
Aruba,Belgium,All Products,629.039
Aruba,Bahrain,All Products,20.112000000000002
Aruba,"Bahamas, The",All Products,57.263000000000005
Aruba,Belize,All Products,0.257
Aruba,Bermuda,All Products,10.581
Aruba,Bolivia,All Products,109.75399999999999
Aruba,Brazil,All Products,12.715
Aruba,Barbados,All Products,38.916
Aruba,Canada,All Products,120.98899999999999
Aruba,Switzerland,All Products,3.838
Aruba,Chile,All Products,7.246
Aruba,China,All Products,38.073
Aruba,Colombia,All Products,8498.687
Aruba,Costa Rica,All Products,1.2009999999999998
Aruba,Cuba,All Products,166.581
Aruba,Cayman Islands,All Products,42.799
Aruba,Germany,All Products,57.38
Aruba,Dominica,All Products,7.077999999999999
Aruba,Denmark,All Products,1.8719999999999999
Aruba,Dominican Republic,All Products,45.235
Aruba,Spain,All Products,166.905
Aruba,France,All Products,12.665
Aruba,United Kingdom,All Products,1098.223
Aruba,Greece,All Products,68.60300000000001
Aruba,Grenada,All Products,7.235
Aruba,Guatemala,All Products,7.95
Aruba,Haiti,All Products,8.916
Aruba,Indonesia,All Products,0.732
Aruba,India,All Products,45.70399999999999
Aruba,Israel,All Products,42.821000000000005
Aruba,Jamaica,All Products,20.732
Aruba,St. Kitts and Nevis,All Products,8.693
Aruba,Liberia,All Products,89.693
Aruba,St. Lucia,All Products,40.536
Aruba,Luxembourg,All Products,13.743
Aruba,Mexico,All Products,6.263
Aruba,Malaysia,All Products,337.955
Aruba,Netherlands,All Products,22648.29
Aruba,Panama,All Products,13898.378999999999
Aruba,Peru,All Products,15.682
Aruba,Philippines,All Products,2.2680000000000002
Aruba,"Korea, Dem. Rep.",All Products,2.793
Aruba,Suriname,All Products,196.011
Aruba,Sweden,All Products,22.458000000000002
Aruba,Trinidad and Tobago,All Products,34.955
Aruba,Turkey,All Products,8.056000000000001
Aruba,Ukraine,All Products,44.898999999999994
Aruba,Unspecified,All Products,388.07300000000004
Aruba,Uruguay,All Products,8.799
Aruba,United States,All Products,8294.536
Aruba,Venezuela,All Products,11734.798999999999
Aruba,British Virgin Islands,All Products,8.402000000000001
Aruba, World,All Products,79682.025
Anguila,Netherlands Antilles,All Products,2739.3709999999996
Anguila,Antigua and Barbuda,All Products,42.327
Anguila,Barbados,All Products,4.504
Anguila,Canada,All Products,21.529
Anguila,China,All Products,4.27
Anguila,Cayman Islands,All Products,11.110999999999999
Anguila,France,All Products,294.64599999999996
Anguila,United Kingdom,All Products,18.840999999999998
Anguila,Grenada,All Products,4.963
Anguila,Guatemala,All Products,15.475999999999999
Anguila,Guyana,All Products,206.96200000000002
Anguila,Japan,All Products,82.333
Anguila,St. Kitts and Nevis,All Products,110.09200000000001
Anguila,"Korea, Rep.",All Products,22.621
Anguila,St. Lucia,All Products,487.765
Anguila,Mexico,All Products,2.042
Anguila,Montserrat,All Products,0.376
Anguila,Netherlands,All Products,51.143
Anguila,Trinidad and Tobago,All Products,2.3930000000000002
Anguila,Unspecified,All Products,0.001
Anguila,United States,All Products,1525.2420000000002
Anguila,St. Vincent and the Grenadines,All Products,32.014
Anguila,British Virgin Islands,All Products,68.065
Anguila, World,All Products,5748.088000000001
Albania,Afghanistan,All Products,3.627
Albania,Andorra,All Products,4.242
Albania,United Arab Emirates,All Products,0.001
Albania,Australia,All Products,31.915
Albania,Austria,All Products,1950.876
Albania,Azerbaijan,All Products,39.47
Albania,Belgium,All Products,363.29900000000004
Albania,Bulgaria,All Products,1588.892
Albania,Bosnia and Herzegovina,All Products,382.26599999999996
Albania,Brazil,All Products,80.223
Albania,Canada,All Products,0.10099999999999999
Albania,Switzerland,All Products,573.575
Albania,China,All Products,609.636
Albania,Christmas Island,All Products,14.277000000000001
Albania,Cyprus,All Products,0.001
Albania,Czech Republic,All Products,1225.407
Albania,Germany,All Products,18783.885
Albania,Denmark,All Products,178.653
Albania,Algeria,All Products,62.082
Albania,"Egypt, Arab Rep.",All Products,0.001
Albania,Spain,All Products,654.992
Albania,Ethiopia(excludes Eritrea),All Products,39.260999999999996
Albania,Finland,All Products,20.88
Albania,France,All Products,3092.345
Albania,United Kingdom,All Products,195.551
Albania,Georgia,All Products,0.23399999999999999
Albania,Greece,All Products,72554.033
Albania,Guatemala,All Products,6.8389999999999995
Albania,"Hong Kong, China",All Products,4.019
Albania,Croatia,All Products,403.42900000000003
Albania,Haiti,All Products,0.602
Albania,Hungary,All Products,63.716
Albania,Indonesia,All Products,9.498
Albania,Ireland,All Products,15.888
Albania,"Iran, Islamic Rep.",All Products,170.237
Albania,Israel,All Products,387.218
Albania,Italy,All Products,440414.99299999996
Albania,Japan,All Products,22.928
Albania,Kazakhstan,All Products,11.277000000000001
Albania,Kenya,All Products,10.254000000000001
Albania,Kiribati,All Products,17.533
Albania,Kuwait,All Products,56.018
Albania,Libya,All Products,5.874
Albania,Morocco,All Products,77.46300000000001
Albania,Moldova,All Products,0.263
Albania,Mexico,All Products,0.402
Albania,"Macedonia, FYR",All Products,7453.215999999999
Albania,Malta,All Products,1718.743
Albania,Myanmar,All Products,9.891
Albania,Mongolia,All Products,2.685
Albania,Malaysia,All Products,0.001
Albania,Netherlands,All Products,917.457
Albania,Norway,All Products,5.591
Albania,New Zealand,All Products,47.629
Albania,Panama,All Products,0.794
Albania,Philippines,All Products,20.312
Albania,Poland,All Products,160.594
Albania,Paraguay,All Products,5.996
Albania,Qatar,All Products,12.440999999999999
Albania,Romania,All Products,225.92
Albania,Russian Federation,All Products,439.406
Albania,Saudi Arabia,All Products,4.442
Albania,"Serbia, FR(Serbia/Montenegro)",All Products,29490.787999999997
Albania,Singapore,All Products,25.671
Albania,Slovak Republic,All Products,30.732
Albania,Slovenia,All Products,453.904
Albania,Sweden,All Products,2933.9
Albania,Swaziland,All Products,27.938000000000002
Albania,Syrian Arab Republic,All Products,12.375
Albania,Turks and Caicos Isl.,All Products,6.515
Albania,Turkey,All Products,11388.396999999999
Albania,Tanzania,All Products,1.672
Albania,Ukraine,All Products,2.563
Albania,United States,All Products,3095.974
Albania, World,All Products,602653.356
Albania,Yemen,All Products,2.259
Albania,South Africa,All Products,9.785
Albania,Zimbabwe,All Products,17.595
Andorra,United Arab Emirates,All Products,35.884
Andorra,Argentina,All Products,16.722
