Reporter Name,Partner Name,Product Group,2003
Aruba,Anguila,Animal,63.464
Aruba,Netherlands Antilles,Animal,222.29100000000003
Aruba,United Arab Emirates,Animal,79.05
Aruba,Argentina,Animal,72.704
Aruba,Colombia,Animal,378.608
Aruba,Germany,Animal,33.95
Aruba,United Kingdom,Animal,26.184
Aruba,Israel,Animal,68.391
Aruba,Netherlands,Animal,80.872
Aruba,Panama,Animal,2.2569999999999997
Aruba,Russian Federation,Animal,286.324
Aruba,Suriname,Animal,24.162
Aruba,Unspecified,Animal,15.057
Aruba,United States,Animal,35.576
Aruba,Venezuela,Animal,803.7639999999999
Aruba, World,Animal,2227.9110000000005
Aruba,South Africa,Animal,35.257
Anguila,United Kingdom,Animal,0.29600000000000004
Anguila,United States,Animal,0.07400000000000001
Anguila, World,Animal,0.37
Albania,Belgium,Animal,6.979
Albania,France,Animal,136.202
Albania,Greece,Animal,285.12
Albania,Italy,Animal,1537.6789999999999
Albania,"Serbia, FR(Serbia/Montenegro)",Animal,758.977
Albania, World,Animal,2724.957000000001
Andorra,Spain,Animal,255.90700000000004
Andorra,France,Animal,8.152000000000001
Andorra, World,Animal,264.059
United Arab Emirates,Afghanistan,Animal,4399.544
United Arab Emirates,Angola,Animal,40.275
United Arab Emirates,Armenia,Animal,85.708
United Arab Emirates,Australia,Animal,219.75400000000002
United Arab Emirates,Azerbaijan,Animal,1238.951
United Arab Emirates,Belgium,Animal,7.821000000000001
United Arab Emirates,Benin,Animal,7.635
United Arab Emirates,Bangladesh,Animal,584.8149999999998
United Arab Emirates,Bahrain,Animal,3982.418
United Arab Emirates,Brunei,Animal,11.572000000000001
United Arab Emirates,Canada,Animal,1532.1
United Arab Emirates,Switzerland,Animal,453.55199999999996
United Arab Emirates,Chile,Animal,3.6839999999999997
United Arab Emirates,China,Animal,1693.101
United Arab Emirates,Cameroon,Animal,52.023999999999994
United Arab Emirates,Colombia,Animal,57.383
United Arab Emirates,Comoros,Animal,26.328000000000003
United Arab Emirates,Cyprus,Animal,28.924
United Arab Emirates,Germany,Animal,696.6619999999999
United Arab Emirates,Djibouti,Animal,419.88599999999997
United Arab Emirates,Denmark,Animal,67.22800000000001
United Arab Emirates,Algeria,Animal,1028.07
United Arab Emirates,"Egypt, Arab Rep.",Animal,700.7869999999998
