Reporter Name,Partner Name,Product Group,2000
Aruba,Netherlands Antilles,Chemicals,859.9709999999999
Aruba,"Bahamas, The",Chemicals,23.397
Aruba,Bermuda,Chemicals,33.793
Aruba,Colombia,Chemicals,8869.876999999999
Aruba,United Kingdom,Chemicals,0.45799999999999996
Aruba,Honduras,Chemicals,1.838
Aruba,Netherlands,Chemicals,3.8489999999999998
Aruba,Norway,Chemicals,51.978
Aruba,Panama,Chemicals,16.285
Aruba,Trinidad and Tobago,Chemicals,0.503
Aruba,Unspecified,Chemicals,12.027999999999999
Aruba,United States,Chemicals,238.084
Aruba,Venezuela,Chemicals,206.944
Aruba, World,Chemicals,10319.008
Anguila,Netherlands Antilles,Chemicals,1.885
Anguila,Antigua and Barbuda,Chemicals,1.25
Anguila,United States,Chemicals,13.677
Anguila, World,Chemicals,16.812
Albania,Austria,Chemicals,54.361999999999995
Albania,Bulgaria,Chemicals,7.895
Albania,Switzerland,Chemicals,3.153
Albania,Cyprus,Chemicals,19.624000000000002
Albania,Germany,Chemicals,211.98
Albania,France,Chemicals,8.958
Albania,Greece,Chemicals,329.5660000000001
Albania,Italy,Chemicals,68.52199999999999
Albania,"Macedonia, FYR",Chemicals,101.223
Albania,Netherlands,Chemicals,103.691
Albania,"Serbia, FR(Serbia/Montenegro)",Chemicals,521.4069999999998
Albania,Slovenia,Chemicals,0.29600000000000004
Albania,Turkey,Chemicals,4.638
Albania, World,Chemicals,1435.316
Andorra,Switzerland,Chemicals,56.231
Andorra,Chile,Chemicals,1.3730000000000002
Andorra,Germany,Chemicals,0.846
Andorra,Spain,Chemicals,2096.389
Andorra,France,Chemicals,932.707
Andorra,United Kingdom,Chemicals,14.735
Andorra,Italy,Chemicals,98.836
Andorra,Morocco,Chemicals,0.98
Andorra,Netherlands,Chemicals,18.864
Andorra,Portugal,Chemicals,0.6829999999999999
Andorra,Romania,Chemicals,70.029
Andorra,Russian Federation,Chemicals,23.993000000000002
Andorra,Unspecified,Chemicals,9.993
Andorra,United States,Chemicals,53.06100000000001
Andorra, World,Chemicals,3378.719
United Arab Emirates,Afghanistan,Chemicals,4197.812
United Arab Emirates,Angola,Chemicals,409.894
United Arab Emirates,Netherlands Antilles,Chemicals,9.414
United Arab Emirates,Argentina,Chemicals,98.979
United Arab Emirates,Armenia,Chemicals,1683.9070000000004
United Arab Emirates,Australia,Chemicals,51.69
United Arab Emirates,Austria,Chemicals,52.887
United Arab Emirates,Azerbaijan,Chemicals,3939.183
United Arab Emirates,Burundi,Chemicals,18.758
United Arab Emirates,Belgium,Chemicals,7194.75
United Arab Emirates,Benin,Chemicals,159.02200000000002
United Arab Emirates,Burkina Faso,Chemicals,2.911
United Arab Emirates,Bangladesh,Chemicals,1277.681
United Arab Emirates,Bulgaria,Chemicals,694.385
United Arab Emirates,Bahrain,Chemicals,8558.746000000001
United Arab Emirates,Belarus,Chemicals,16.208
United Arab Emirates,Brazil,Chemicals,319.848
United Arab Emirates,Brunei,Chemicals,1.157
United Arab Emirates,Botswana,Chemicals,28.476
United Arab Emirates,Canada,Chemicals,670.559
United Arab Emirates,Switzerland,Chemicals,1673.344
United Arab Emirates,China,Chemicals,121.991
United Arab Emirates,Cote d'Ivoire,Chemicals,206.65200000000002
United Arab Emirates,Cameroon,Chemicals,224.67400000000004
United Arab Emirates,"Congo, Rep.",Chemicals,155.91500000000005
United Arab Emirates,Colombia,Chemicals,61.265
United Arab Emirates,Comoros,Chemicals,27.416
United Arab Emirates,Cuba,Chemicals,35.524
United Arab Emirates,Cyprus,Chemicals,194.892
United Arab Emirates,Czech Republic,Chemicals,4.346
United Arab Emirates,Germany,Chemicals,1967.053
United Arab Emirates,Djibouti,Chemicals,1676.464
United Arab Emirates,Dominica,Chemicals,30.674
United Arab Emirates,Algeria,Chemicals,1853.5220000000002
United Arab Emirates,Ecuador,Chemicals,656.7429999999998
United Arab Emirates,"Egypt, Arab Rep.",Chemicals,7298.715
United Arab Emirates,Eritrea,Chemicals,82.59700000000002
United Arab Emirates,Spain,Chemicals,725.487
United Arab Emirates,Estonia,Chemicals,0.905
United Arab Emirates,Ethiopia(excludes Eritrea),Chemicals,908.2229999999997
United Arab Emirates,Finland,Chemicals,966.435
United Arab Emirates,France,Chemicals,2208.6679999999997
United Arab Emirates,Gabon,Chemicals,31.975
United Arab Emirates,United Kingdom,Chemicals,9866.241999999998
United Arab Emirates,Georgia,Chemicals,286.278
United Arab Emirates,Ghana,Chemicals,300.00999999999993
United Arab Emirates,Guinea,Chemicals,289.254
United Arab Emirates,"Gambia, The",Chemicals,23.428
United Arab Emirates,Greece,Chemicals,96.78
United Arab Emirates,"Hong Kong, China",Chemicals,3505.469
United Arab Emirates,Croatia,Chemicals,21.483
United Arab Emirates,Hungary,Chemicals,88.35999999999999
United Arab Emirates,Indonesia,Chemicals,558.389
United Arab Emirates,India,Chemicals,6045.855000000001
United Arab Emirates,Ireland,Chemicals,121.257
United Arab Emirates,"Iran, Islamic Rep.",Chemicals,55689.64400000001
United Arab Emirates,Iraq,Chemicals,5844.227999999999
United Arab Emirates,Iceland,Chemicals,18.574
United Arab Emirates,Italy,Chemicals,1910.442
United Arab Emirates,Jordan,Chemicals,1711.8909999999996
United Arab Emirates,Japan,Chemicals,12988.466
United Arab Emirates,Kazakhstan,Chemicals,2819.0929999999994
United Arab Emirates,Kenya,Chemicals,1588.23
United Arab Emirates,Kiribati,Chemicals,8.168
United Arab Emirates,"Korea, Rep.",Chemicals,107.691
United Arab Emirates,Kuwait,Chemicals,16821.254
United Arab Emirates,Lebanon,Chemicals,2375.571
United Arab Emirates,Liberia,Chemicals,79.59899999999999
United Arab Emirates,Libya,Chemicals,13334.113000000001
United Arab Emirates,Sri Lanka,Chemicals,2435.2200000000007
United Arab Emirates,Lithuania,Chemicals,40.867
United Arab Emirates,Luxembourg,Chemicals,252.46099999999998
United Arab Emirates,Latvia,Chemicals,21.546
United Arab Emirates,Macao,Chemicals,2.949
United Arab Emirates,Morocco,Chemicals,482.074
United Arab Emirates,Moldova,Chemicals,46.762
United Arab Emirates,Madagascar,Chemicals,85.65700000000002
United Arab Emirates,Maldives,Chemicals,402.825
United Arab Emirates,Mexico,Chemicals,786.345
United Arab Emirates,"Macedonia, FYR",Chemicals,192.63
United Arab Emirates,Mali,Chemicals,23.754
United Arab Emirates,Malta,Chemicals,304.1430000000001
United Arab Emirates,Myanmar,Chemicals,379.282
United Arab Emirates,Mozambique,Chemicals,420.292
United Arab Emirates,Mauritania,Chemicals,132.363
United Arab Emirates,Montserrat,Chemicals,31.799
United Arab Emirates,Malaysia,Chemicals,468.894
United Arab Emirates,Nigeria,Chemicals,1143.336
United Arab Emirates,Netherlands,Chemicals,4999.507000000001
United Arab Emirates,Norway,Chemicals,16.372
United Arab Emirates,Nepal,Chemicals,24.057
United Arab Emirates,New Zealand,Chemicals,82.428
United Arab Emirates,Oman,Chemicals,10686.622
