Reporter Name,Partner Name,Product Group,2003
Aruba,Netherlands Antilles,Food Products,5986.363
Aruba,Brazil,Food Products,116.883
Aruba,Colombia,Food Products,9018.809
Aruba,Cuba,Food Products,17.229
Aruba,Germany,Food Products,48.257
Aruba,Spain,Food Products,1020.38
Aruba,United Kingdom,Food Products,32.580999999999996
Aruba,Ireland,Food Products,176.81
Aruba,Netherlands,Food Products,19244.155
Aruba,Panama,Food Products,10357.044
Aruba,Unspecified,Food Products,386.82599999999996
Aruba,United States,Food Products,319.145
Aruba,Venezuela,Food Products,7472.922
Aruba, World,Food Products,54197.405999999995
Anguila,Netherlands Antilles,Food Products,69.065
Anguila,Belize,Food Products,1.9780000000000002
Anguila,France,Food Products,15.062999999999999
Anguila,United Kingdom,Food Products,3.605
Anguila,Guyana,Food Products,965.328
Anguila,Netherlands,Food Products,16.191
Anguila,Panama,Food Products,16.191
Anguila,Trinidad and Tobago,Food Products,14.562000000000001
Anguila,United States,Food Products,98.413
Anguila, World,Food Products,1200.395
Albania,Bosnia and Herzegovina,Food Products,6.192
Albania,France,Food Products,22.84
Albania,Greece,Food Products,5478.981000000002
Albania,Croatia,Food Products,11.122
Albania,Hungary,Food Products,6.946000000000001
Albania,Italy,Food Products,12158.567
Albania,"Macedonia, FYR",Food Products,60.459
Albania,Panama,Food Products,3.905
Albania,Poland,Food Products,1.235
Albania,"Serbia, FR(Serbia/Montenegro)",Food Products,1184.494
Albania,Slovenia,Food Products,6.252999999999999
Albania,United States,Food Products,8.442
Albania, World,Food Products,18949.436
Andorra,Switzerland,Food Products,13.792
Andorra,Germany,Food Products,0.6970000000000001
Andorra,Spain,Food Products,5354.6579999999985
Andorra,France,Food Products,65.277
Andorra,United Kingdom,Food Products,0.18100000000000002
Andorra,Mauritania,Food Products,0.27399999999999997
Andorra,Netherlands,Food Products,0.138
Andorra, World,Food Products,5435.017
United Arab Emirates,Afghanistan,Food Products,13046.444
United Arab Emirates,Angola,Food Products,3570.965
United Arab Emirates,Albania,Food Products,1497.6170000000002
United Arab Emirates,Armenia,Food Products,85.55199999999998
United Arab Emirates,Australia,Food Products,2302.4390000000008
United Arab Emirates,Austria,Food Products,64.27199999999999
United Arab Emirates,Azerbaijan,Food Products,1699.523
United Arab Emirates,Belgium,Food Products,2767.0869999999986
United Arab Emirates,Benin,Food Products,303.54200000000003
United Arab Emirates,Bangladesh,Food Products,563.404
United Arab Emirates,Bulgaria,Food Products,63.917
United Arab Emirates,Bahrain,Food Products,15006.921
United Arab Emirates,Bosnia and Herzegovina,Food Products,10.783
United Arab Emirates,Brazil,Food Products,33.95
United Arab Emirates,Barbados,Food Products,22.685
United Arab Emirates,Brunei,Food Products,450.426
United Arab Emirates,Canada,Food Products,478.30500000000006
United Arab Emirates,Switzerland,Food Products,13.265
United Arab Emirates,Chile,Food Products,76.92200000000003
United Arab Emirates,China,Food Products,143.89800000000002
United Arab Emirates,Cote d'Ivoire,Food Products,15.248
United Arab Emirates,Cameroon,Food Products,499.333
United Arab Emirates,"Congo, Rep.",Food Products,101.52599999999998
United Arab Emirates,Colombia,Food Products,28.910000000000004
United Arab Emirates,Comoros,Food Products,258.046
United Arab Emirates,Cyprus,Food Products,471.36
United Arab Emirates,Czech Republic,Food Products,48.083
United Arab Emirates,Germany,Food Products,711.6339999999999
United Arab Emirates,Djibouti,Food Products,4228.0740000000005
United Arab Emirates,Denmark,Food Products,666.2439999999999
United Arab Emirates,Algeria,Food Products,1689.6419999999996
United Arab Emirates,Ecuador,Food Products,9.293
United Arab Emirates,"Egypt, Arab Rep.",Food Products,12693.489000000005
United Arab Emirates,Eritrea,Food Products,1059.726
United Arab Emirates,Spain,Food Products,631.5840000000001
United Arab Emirates,Ethiopia(excludes Eritrea),Food Products,382.348
United Arab Emirates,Fiji,Food Products,120.63799999999999
United Arab Emirates,France,Food Products,217.49
United Arab Emirates,Free Zones,Food Products,58135.815
United Arab Emirates,Gabon,Food Products,197.56100000000004
United Arab Emirates,United Kingdom,Food Products,9030.425
United Arab Emirates,Georgia,Food Products,7733.15
United Arab Emirates,Ghana,Food Products,1433.213
United Arab Emirates,"Gambia, The",Food Products,116.67399999999999
United Arab Emirates,Equatorial Guinea,Food Products,114.81700000000001
United Arab Emirates,Greece,Food Products,112.235
United Arab Emirates,Guatemala,Food Products,38.199
