Reporter Name,Partner Name,Product Group,1990
Australia,United Arab Emirates,Fuels,2726.552
Australia,Argentina,Fuels,14156.018999999998
Australia,Bangladesh,Fuels,34.008
Australia,Bahrain,Fuels,6.462999999999999
Australia,Belgium-Luxembourg,Fuels,58246.390999999996
Australia,Brazil,Fuels,63692.319
Australia,Barbados,Fuels,0.778
Australia,Brunei,Fuels,18.581
Australia,Canada,Fuels,20.4
Australia,Cocos (Keeling) Islands,Fuels,122.01700000000001
Australia,Switzerland,Fuels,1.641
Australia,Chile,Fuels,12984.051000000001
Australia,China,Fuels,39330.301
Australia,Cook Islands,Fuels,46.563
Australia,Colombia,Fuels,11.341
Australia,Christmas Island,Fuels,433.27
Australia,Germany,Fuels,36922.949
Australia,Denmark,Fuels,45711.431
Australia,Algeria,Fuels,19950.377
Australia,"Egypt, Arab Rep.",Fuels,12604.101
Australia,Spain,Fuels,36546.695
Australia,Finland,Fuels,0.625
Australia,Fiji,Fuels,51528.136
Australia,France,Fuels,127674.212
Australia,United Kingdom,Fuels,175017.669
Australia,Greece,Fuels,18.67
Australia,"Hong Kong, China",Fuels,125894.171
Australia,Indonesia,Fuels,223315.995
Australia,India,Fuels,28104.631
Australia,Israel,Fuels,20318.788
Australia,Italy,Fuels,46116.33
Australia,Japan,Fuels,3110868.825
Australia,Kiribati,Fuels,58.696000000000005
Australia,"Korea, Rep.",Fuels,404858.391
Australia,Kuwait,Fuels,5.372999999999999
Australia,Sri Lanka,Fuels,348.565
Australia,Mali,Fuels,2.737
Australia,Malta,Fuels,18.704
Australia,Myanmar,Fuels,21958.882999999998
Australia,Malaysia,Fuels,36941.804
Australia,New Caledonia,Fuels,13895.572
Australia,Norfolk Island,Fuels,44.45
Australia,Netherlands,Fuels,226101.48899999997
Australia,Norway,Fuels,1435.454
Australia,Nauru,Fuels,495.124
Australia,New Zealand,Fuels,54115.789000000004
Australia,Oman,Fuels,37.131
Australia,Pakistan,Fuels,32108.141
Australia,Philippines,Fuels,28819.561
Australia,Papua New Guinea,Fuels,88215.589
Australia,French Polynesia,Fuels,50804.738
Australia,Romania,Fuels,80315.483
Australia,Saudi Arabia,Fuels,17.054000000000002
Australia,Singapore,Fuels,430408.98600000003
Australia,Solomon Islands,Fuels,3515.2990000000004
Australia,Sierra Leone,Fuels,9.988999999999999
Australia,Special Categories,Fuels,404779.35
Australia,Sweden,Fuels,23117.476000000002
Australia,Seychelles,Fuels,0.604
Australia,Thailand,Fuels,34648.392
Australia,Tonga,Fuels,133.756
Australia,Turkey,Fuels,75989.944
Australia,Unspecified,Fuels,385706.38
Australia,United States,Fuels,503303.783
Australia,Us Msc.Pac.I,Fuels,10818.183
Australia,Vanuatu,Fuels,515.839
Australia, World,Fuels,7472905.53
Australia,Wallis and Futura Isl.,Fuels,2.84
Australia,Samoa,Fuels,1726.4129999999998
Australia,"Yugoslavia,FR(Serbia/Montenegr",Fuels,6496.194
Australia,South Africa,Fuels,62.687
Bangladesh,United Arab Emirates,Fuels,4.931
Bangladesh,Bahrain,Fuels,11.017999999999999
Bangladesh,China,Fuels,54.272
Bangladesh,Cyprus,Fuels,8.823
Bangladesh,Denmark,Fuels,4.107
Bangladesh,"Egypt, Arab Rep.",Fuels,50.576
Bangladesh,United Kingdom,Fuels,25.891
Bangladesh,Greece,Fuels,12.995
Bangladesh,"Hong Kong, China",Fuels,6.99
Bangladesh,Indonesia,Fuels,19.605999999999998
Bangladesh,India,Fuels,159.914
Bangladesh,Japan,Fuels,20.983
Bangladesh,"Korea, Rep.",Fuels,21.795
Bangladesh,Sri Lanka,Fuels,28.119
Bangladesh,Malta,Fuels,52.426
Bangladesh,Myanmar,Fuels,19.005
Bangladesh,Mozambique,Fuels,6.837999999999999
Bangladesh,Malaysia,Fuels,39.81
Bangladesh,Pakistan,Fuels,50.066
Bangladesh,Panama,Fuels,20.826
Bangladesh,Fm Sudan,Fuels,11.245
Bangladesh,Singapore,Fuels,19233.748
Bangladesh,Tanzania,Fuels,11.554
Bangladesh,United States,Fuels,28.732
Bangladesh, World,Fuels,19904.27
Brazil,Angola,Fuels,224.072
Brazil,Netherlands Antilles,Fuels,11012.962
Brazil,Argentina,Fuels,7607.221
Brazil,Australia,Fuels,4.4910000000000005
Brazil,"Bahamas, The",Fuels,4723.306
Brazil,Belgium-Luxembourg,Fuels,2.204
Brazil,Bolivia,Fuels,116.71700000000001
Brazil,Canada,Fuels,1.058
Brazil,Switzerland,Fuels,409.49
Brazil,Chile,Fuels,245.84
Brazil,Colombia,Fuels,1599.745
Brazil,Costa Rica,Fuels,3.1660000000000004
Brazil,Dominican Republic,Fuels,2.5989999999999998
Brazil,Ecuador,Fuels,182.83700000000002
Brazil,France,Fuels,13351.684
