Reporter Name,Partner Name,Product Group,2003
Aruba,Netherlands Antilles,Mach and Elec,444.69300000000004
Aruba,United Arab Emirates,Mach and Elec,0.201
Aruba,Argentina,Mach and Elec,0.508
Aruba,Barbados,Mach and Elec,1.173
Aruba,Switzerland,Mach and Elec,3.0780000000000003
Aruba,Colombia,Mach and Elec,21.593000000000004
Aruba,Cayman Islands,Mach and Elec,0.045
Aruba,Dominican Republic,Mach and Elec,1.285
Aruba,Ecuador,Mach and Elec,4.525
Aruba,Grenada,Mach and Elec,13.24
Aruba,Honduras,Mach and Elec,0.408
Aruba,Jamaica,Mach and Elec,1113.7930000000001
Aruba,St. Lucia,Mach and Elec,33.687
Aruba,Netherlands,Mach and Elec,117.676
Aruba,Panama,Mach and Elec,76.542
Aruba,Peru,Mach and Elec,1.849
Aruba,Trinidad and Tobago,Mach and Elec,8.916
Aruba,Unspecified,Mach and Elec,6.162000000000001
Aruba,United States,Mach and Elec,1762.6029999999998
Aruba,Venezuela,Mach and Elec,213.821
Aruba, World,Mach and Elec,3825.798
Anguila,Netherlands Antilles,Mach and Elec,81.327
Anguila,Antigua and Barbuda,Mach and Elec,22.632
Anguila,"Bahamas, The",Mach and Elec,1.236
Anguila,Brazil,Mach and Elec,22.441
Anguila,Barbados,Mach and Elec,0.741
Anguila,Canada,Mach and Elec,3.7710000000000004
Anguila,Dominican Republic,Mach and Elec,17.336
Anguila,France,Mach and Elec,0.524
Anguila,United Kingdom,Mach and Elec,0.9520000000000001
Anguila,Japan,Mach and Elec,2.9960000000000004
Anguila,St. Kitts and Nevis,Mach and Elec,5.455
Anguila,"Korea, Rep.",Mach and Elec,10.003
Anguila,St. Lucia,Mach and Elec,0.6920000000000001
Anguila,United States,Mach and Elec,911.82
Anguila,Venezuela,Mach and Elec,0.198
Anguila,British Virgin Islands,Mach and Elec,0.445
Anguila, World,Mach and Elec,1082.569
Albania,Argentina,Mach and Elec,0.153
Albania,Austria,Mach and Elec,173.09099999999998
Albania,Bulgaria,Mach and Elec,11.159
Albania,Canada,Mach and Elec,31.156999999999996
Albania,Switzerland,Mach and Elec,39.503
Albania,China,Mach and Elec,19.727
Albania,Czech Republic,Mach and Elec,3.28
Albania,Germany,Mach and Elec,13.970999999999998
Albania,Spain,Mach and Elec,6.742999999999999
Albania,France,Mach and Elec,12.882
Albania,United Kingdom,Mach and Elec,150.955
Albania,Greece,Mach and Elec,2260.351
Albania,Croatia,Mach and Elec,180.918
Albania,Hungary,Mach and Elec,1073.352
Albania,Italy,Mach and Elec,7198.029
Albania,Lebanon,Mach and Elec,882.209
Albania,Mexico,Mach and Elec,0.6679999999999999
Albania,"Macedonia, FYR",Mach and Elec,1126.394
Albania,Mali,Mach and Elec,0.259
Albania,Netherlands,Mach and Elec,275.495
Albania,Panama,Mach and Elec,0.635
Albania,Romania,Mach and Elec,4.229
Albania,"Serbia, FR(Serbia/Montenegro)",Mach and Elec,1031.163
Albania,Singapore,Mach and Elec,15.969000000000001
Albania,Slovenia,Mach and Elec,23.115
Albania,Sweden,Mach and Elec,6.303999999999999
Albania,Turkey,Mach and Elec,59.402
Albania,United States,Mach and Elec,82.53399999999998
Albania, World,Mach and Elec,14684.292
Albania,South Africa,Mach and Elec,0.6459999999999999
Andorra,United Arab Emirates,Mach and Elec,18.002
Andorra,Argentina,Mach and Elec,33.739000000000004
Andorra,Armenia,Mach and Elec,20.858
Andorra,Austria,Mach and Elec,1.472
Andorra,Belgium,Mach and Elec,9.772
Andorra,Bulgaria,Mach and Elec,9.212
Andorra,Bahrain,Mach and Elec,9.661
Andorra,Belarus,Mach and Elec,63.856
Andorra,Switzerland,Mach and Elec,50.315
Andorra,Chile,Mach and Elec,1.226
Andorra,Costa Rica,Mach and Elec,0.925
Andorra,Cuba,Mach and Elec,0.07400000000000001
Andorra,Cyprus,Mach and Elec,7.171
Andorra,Germany,Mach and Elec,5501.727000000001
Andorra,Denmark,Mach and Elec,6.697
Andorra,Algeria,Mach and Elec,4.868
Andorra,Spain,Mach and Elec,9247.745
Andorra,Finland,Mach and Elec,133.532
Andorra,France,Mach and Elec,2126.351
Andorra,United Kingdom,Mach and Elec,3.693
Andorra,Georgia,Mach and Elec,24.320999999999998
Andorra,Greece,Mach and Elec,255.602
Andorra,Guatemala,Mach and Elec,28.166
Andorra,Croatia,Mach and Elec,31.965
Andorra,India,Mach and Elec,8.002
Andorra,Israel,Mach and Elec,4.274
Andorra,Italy,Mach and Elec,10.08
Andorra,Jordan,Mach and Elec,7.829
Andorra,Lebanon,Mach and Elec,21.183000000000003
Andorra,Lithuania,Mach and Elec,14.785
Andorra,Latvia,Mach and Elec,146.61
Andorra,Morocco,Mach and Elec,15.248
Andorra,Mexico,Mach and Elec,15.37
Andorra,Netherlands,Mach and Elec,135.636
Andorra,Norway,Mach and Elec,798.2760000000001
Andorra,Pakistan,Mach and Elec,6.824
Andorra,Poland,Mach and Elec,30.384
Andorra,Portugal,Mach and Elec,506.231
Andorra,Russian Federation,Mach and Elec,163.82299999999998
Andorra,"Serbia, FR(Serbia/Montenegro)",Mach and Elec,6.537000000000001
Andorra,Slovak Republic,Mach and Elec,47.105
Andorra,Sweden,Mach and Elec,369.231
Andorra,Uganda,Mach and Elec,3.963
Andorra,Uruguay,Mach and Elec,46.413999999999994
Andorra,United States,Mach and Elec,12.107999999999999
Andorra, World,Mach and Elec,19960.863
United Arab Emirates,Aruba,Mach and Elec,127.15899999999999
United Arab Emirates,Afghanistan,Mach and Elec,32865.789000000004
United Arab Emirates,Angola,Mach and Elec,14159.954
United Arab Emirates,Albania,Mach and Elec,453.68300000000005
United Arab Emirates,Andorra,Mach and Elec,86.03200000000001
United Arab Emirates,Netherlands Antilles,Mach and Elec,29.889
United Arab Emirates,Argentina,Mach and Elec,435.495
United Arab Emirates,Armenia,Mach and Elec,12326.258999999998
United Arab Emirates,Australia,Mach and Elec,6397.49
United Arab Emirates,Austria,Mach and Elec,3147.9570000000003
United Arab Emirates,Azerbaijan,Mach and Elec,69170.908
United Arab Emirates,Burundi,Mach and Elec,369.00800000000004
United Arab Emirates,Belgium,Mach and Elec,4650.29
United Arab Emirates,Benin,Mach and Elec,1225.096
United Arab Emirates,Burkina Faso,Mach and Elec,588.48
United Arab Emirates,Bangladesh,Mach and Elec,18400.849
United Arab Emirates,Bulgaria,Mach and Elec,11198.666000000001
United Arab Emirates,Bahrain,Mach and Elec,129453.82
United Arab Emirates,"Bahamas, The",Mach and Elec,5.718
United Arab Emirates,Bosnia and Herzegovina,Mach and Elec,116.029
United Arab Emirates,Belarus,Mach and Elec,2.04
United Arab Emirates,Brazil,Mach and Elec,46.83
United Arab Emirates,Brunei,Mach and Elec,180.359
United Arab Emirates,Botswana,Mach and Elec,630.115
United Arab Emirates,Canada,Mach and Elec,1850.431
United Arab Emirates,Switzerland,Mach and Elec,9409.226
United Arab Emirates,Chile,Mach and Elec,4.901
United Arab Emirates,China,Mach and Elec,5463.847
United Arab Emirates,Cote d'Ivoire,Mach and Elec,7431.326999999999
United Arab Emirates,Cameroon,Mach and Elec,3573.245
United Arab Emirates,"Congo, Rep.",Mach and Elec,4711.297000000001
United Arab Emirates,Colombia,Mach and Elec,786.308
United Arab Emirates,Comoros,Mach and Elec,430.31800000000004
United Arab Emirates,Costa Rica,Mach and Elec,116.789
United Arab Emirates,Cuba,Mach and Elec,5.492000000000001
United Arab Emirates,Cyprus,Mach and Elec,16150.251
United Arab Emirates,Czech Republic,Mach and Elec,255639.426
United Arab Emirates,Germany,Mach and Elec,53357.045999999995
United Arab Emirates,Djibouti,Mach and Elec,16806.238999999998
United Arab Emirates,Denmark,Mach and Elec,5739.183000000001
United Arab Emirates,Algeria,Mach and Elec,46541.705
United Arab Emirates,"Egypt, Arab Rep.",Mach and Elec,32487.757
United Arab Emirates,Eritrea,Mach and Elec,2842.163
United Arab Emirates,Spain,Mach and Elec,5723.465
United Arab Emirates,Estonia,Mach and Elec,174.02200000000002
United Arab Emirates,Ethiopia(excludes Eritrea),Mach and Elec,6151.312
United Arab Emirates,Finland,Mach and Elec,14364.365
United Arab Emirates,Falkland Island,Mach and Elec,4.446000000000001
United Arab Emirates,France,Mach and Elec,11067.768
United Arab Emirates,Free Zones,Mach and Elec,23.469
United Arab Emirates,Gabon,Mach and Elec,1027.278
United Arab Emirates,United Kingdom,Mach and Elec,349738.52
United Arab Emirates,Georgia,Mach and Elec,6041.0019999999995
United Arab Emirates,Ghana,Mach and Elec,7762.427
United Arab Emirates,Gibraltar,Mach and Elec,4.709
United Arab Emirates,"Gambia, The",Mach and Elec,2859.684
United Arab Emirates,Equatorial Guinea,Mach and Elec,4921.539000000001
United Arab Emirates,Greece,Mach and Elec,12156.611
United Arab Emirates,Guatemala,Mach and Elec,83.34
United Arab Emirates,Guyana,Mach and Elec,9944.201
United Arab Emirates,"Hong Kong, China",Mach and Elec,98283.69
United Arab Emirates,Croatia,Mach and Elec,339.673
United Arab Emirates,Hungary,Mach and Elec,4657.428
United Arab Emirates,Indonesia,Mach and Elec,2352.368
United Arab Emirates,India,Mach and Elec,62268.42999999999
United Arab Emirates,Ireland,Mach and Elec,813.383
United Arab Emirates,"Iran, Islamic Rep.",Mach and Elec,980867.022
United Arab Emirates,Iraq,Mach and Elec,117131.07400000001
United Arab Emirates,Iceland,Mach and Elec,3.405
United Arab Emirates,Italy,Mach and Elec,59512.98
United Arab Emirates,Jamaica,Mach and Elec,190.065
United Arab Emirates,Jordan,Mach and Elec,67696.13200000001
United Arab Emirates,Japan,Mach and Elec,4187.812
United Arab Emirates,Kazakhstan,Mach and Elec,70123.756
United Arab Emirates,Kenya,Mach and Elec,45196.785
United Arab Emirates,Kyrgyz Republic,Mach and Elec,1895.483
United Arab Emirates,Cambodia,Mach and Elec,6.648
United Arab Emirates,"Korea, Rep.",Mach and Elec,2818.8720000000008
United Arab Emirates,Kuwait,Mach and Elec,88528.675
United Arab Emirates,Lao PDR,Mach and Elec,68.054
United Arab Emirates,Lebanon,Mach and Elec,13746.726
United Arab Emirates,Liberia,Mach and Elec,1270.02
United Arab Emirates,Libya,Mach and Elec,60313.502
United Arab Emirates,Sri Lanka,Mach and Elec,14834.389
United Arab Emirates,Lithuania,Mach and Elec,645.375
United Arab Emirates,Luxembourg,Mach and Elec,17827.056
United Arab Emirates,Latvia,Mach and Elec,265.682
United Arab Emirates,Macao,Mach and Elec,31.314
United Arab Emirates,Morocco,Mach and Elec,5764.855
United Arab Emirates,Moldova,Mach and Elec,122.09
United Arab Emirates,Madagascar,Mach and Elec,1819.464
United Arab Emirates,Maldives,Mach and Elec,2586.8630000000007
United Arab Emirates,Mexico,Mach and Elec,76.89099999999998
United Arab Emirates,"Macedonia, FYR",Mach and Elec,259.094
United Arab Emirates,Mali,Mach and Elec,3008.7070000000003
United Arab Emirates,Malta,Mach and Elec,1984.531
United Arab Emirates,Myanmar,Mach and Elec,3898.388
United Arab Emirates,Mongolia,Mach and Elec,2.648
United Arab Emirates,Mozambique,Mach and Elec,3818.2909999999997
United Arab Emirates,Mauritania,Mach and Elec,5438.361999999999
United Arab Emirates,Mauritius,Mach and Elec,1914.51
United Arab Emirates,Malawi,Mach and Elec,2795.599
United Arab Emirates,Malaysia,Mach and Elec,1199.846
United Arab Emirates,Namibia,Mach and Elec,263.307
United Arab Emirates,New Caledonia,Mach and Elec,13.87
United Arab Emirates,Niger,Mach and Elec,51.193000000000005
United Arab Emirates,Nigeria,Mach and Elec,53682.16100000001
United Arab Emirates,Nicaragua,Mach and Elec,113.212
United Arab Emirates,Netherlands,Mach and Elec,45990.416
United Arab Emirates,Norway,Mach and Elec,1450.773
United Arab Emirates,Nepal,Mach and Elec,360.852
United Arab Emirates,New Zealand,Mach and Elec,509.051
United Arab Emirates,Oman,Mach and Elec,70413.238
United Arab Emirates,Pakistan,Mach and Elec,87780.429
United Arab Emirates,Panama,Mach and Elec,932.038
United Arab Emirates,Philippines,Mach and Elec,902.638
United Arab Emirates,Papua New Guinea,Mach and Elec,28.285999999999998
United Arab Emirates,Poland,Mach and Elec,1045.932
United Arab Emirates,Portugal,Mach and Elec,120.145
United Arab Emirates,Paraguay,Mach and Elec,37.568000000000005
United Arab Emirates,Qatar,Mach and Elec,80143.84
United Arab Emirates,Romania,Mach and Elec,8944.675000000001
United Arab Emirates,Russian Federation,Mach and Elec,131751.018
United Arab Emirates,Rwanda,Mach and Elec,1360.7089999999996
United Arab Emirates,Saudi Arabia,Mach and Elec,151229.18300000002
United Arab Emirates,Fm Sudan,Mach and Elec,32231.64
United Arab Emirates,Senegal,Mach and Elec,2777.53
United Arab Emirates,"Serbia, FR(Serbia/Montenegro)",Mach and Elec,845.225
United Arab Emirates,Singapore,Mach and Elec,25222.043999999998
United Arab Emirates,Sierra Leone,Mach and Elec,3336.453
United Arab Emirates,San Marino,Mach and Elec,4.322
United Arab Emirates,Somalia,Mach and Elec,6595.674
United Arab Emirates,Sao Tome and Principe,Mach and Elec,79.536
United Arab Emirates,Slovak Republic,Mach and Elec,28.741
United Arab Emirates,Slovenia,Mach and Elec,13.562
United Arab Emirates,Sweden,Mach and Elec,2002.9920000000002
United Arab Emirates,Swaziland,Mach and Elec,78.437
United Arab Emirates,Seychelles,Mach and Elec,773.2330000000001
United Arab Emirates,Syrian Arab Republic,Mach and Elec,64520.91
United Arab Emirates,Chad,Mach and Elec,175.05700000000004
United Arab Emirates,Togo,Mach and Elec,755.752
United Arab Emirates,Thailand,Mach and Elec,1690.007
United Arab Emirates,Tajikistan,Mach and Elec,3211.423
United Arab Emirates,Turkmenistan,Mach and Elec,17184.465
United Arab Emirates,East Timor,Mach and Elec,8.429
United Arab Emirates,Tonga,Mach and Elec,7.837000000000001
United Arab Emirates,Trinidad and Tobago,Mach and Elec,823.04
United Arab Emirates,Tunisia,Mach and Elec,4529.768
United Arab Emirates,Turkey,Mach and Elec,26736.95
United Arab Emirates,Tanzania,Mach and Elec,37143.804
United Arab Emirates,Uganda,Mach and Elec,5738.985
United Arab Emirates,Unspecified,Mach and Elec,112876.535
United Arab Emirates,Uruguay,Mach and Elec,1.375
United Arab Emirates,United States,Mach and Elec,23869.139000000006
United Arab Emirates,Uzbekistan,Mach and Elec,7423.924
United Arab Emirates,Venezuela,Mach and Elec,113.904
United Arab Emirates,Vietnam,Mach and Elec,76.273
United Arab Emirates,Vanuatu,Mach and Elec,6.85
United Arab Emirates, World,Mach and Elec,4069564.1989999996
United Arab Emirates,Yemen,Mach and Elec,71045.144
United Arab Emirates,South Africa,Mach and Elec,22073.312
United Arab Emirates,"Congo, Dem. Rep.",Mach and Elec,1858.822
United Arab Emirates,Zambia,Mach and Elec,2187.74
United Arab Emirates,Zimbabwe,Mach and Elec,1559.5739999999998
Argentina,Aruba,Mach and Elec,0.013000000000000001
Argentina,Angola,Mach and Elec,406.65
Argentina,Albania,Mach and Elec,4.66
Argentina,Netherlands Antilles,Mach and Elec,96.21
Argentina,United Arab Emirates,Mach and Elec,1726.4229999999998
Argentina,Armenia,Mach and Elec,84.031
Argentina,Antigua and Barbuda,Mach and Elec,0.4
Argentina,Australia,Mach and Elec,3413.252
Argentina,Austria,Mach and Elec,374.68699999999995
Argentina,Belgium,Mach and Elec,698.255
Argentina,Bangladesh,Mach and Elec,268.987
Argentina,Bulgaria,Mach and Elec,0.7
Argentina,"Bahamas, The",Mach and Elec,1158.208
Argentina,Bosnia and Herzegovina,Mach and Elec,0.064
Argentina,Belarus,Mach and Elec,5.263
Argentina,Belize,Mach and Elec,40.529
Argentina,Bolivia,Mach and Elec,23120.095
Argentina,Brazil,Mach and Elec,313825.136
Argentina,Barbados,Mach and Elec,23.215999999999998
Argentina,Brunei,Mach and Elec,301.82099999999997
Argentina,Botswana,Mach and Elec,11.509
Argentina,Canada,Mach and Elec,5689.968000000001
Argentina,Switzerland,Mach and Elec,2430.861
Argentina,Chile,Mach and Elec,80345.43
Argentina,China,Mach and Elec,6073.6
Argentina,Cameroon,Mach and Elec,10.436
Argentina,"Congo, Rep.",Mach and Elec,610.6709999999999
Argentina,Colombia,Mach and Elec,14450.067
Argentina,Costa Rica,Mach and Elec,3155.894
Argentina,Cuba,Mach and Elec,1903.17
Argentina,Cyprus,Mach and Elec,51.792
Argentina,Czech Republic,Mach and Elec,383.075
Argentina,Germany,Mach and Elec,12680.353
Argentina,Djibouti,Mach and Elec,315.571
Argentina,Dominica,Mach and Elec,195.7
Argentina,Denmark,Mach and Elec,1507.94
Argentina,Dominican Republic,Mach and Elec,1696.5459999999996
Argentina,Algeria,Mach and Elec,822.6129999999998
Argentina,Ecuador,Mach and Elec,13313.979
Argentina,"Egypt, Arab Rep.",Mach and Elec,614.693
Argentina,Spain,Mach and Elec,20960.96
Argentina,Estonia,Mach and Elec,11.120999999999999
Argentina,Finland,Mach and Elec,285.866
Argentina,Fiji,Mach and Elec,64.719
Argentina,France,Mach and Elec,21551.905
Argentina,United Kingdom,Mach and Elec,22211.6
Argentina,Georgia,Mach and Elec,0.001
Argentina,Equatorial Guinea,Mach and Elec,347.705
Argentina,Greece,Mach and Elec,784.4680000000002
Argentina,Grenada,Mach and Elec,14.052999999999999
Argentina,Guatemala,Mach and Elec,2127.6910000000003
