Reporter Name,Partner Name,Product Group,2011
Aruba,Netherlands,Minerals,0.006999999999999999
Aruba,United States,Minerals,0.36700000000000005
Aruba,Venezuela,Minerals,0.602
Aruba, World,Minerals,6.707000000000001
Afghanistan,China,Minerals,480.95
Afghanistan,"Iran, Islamic Rep.",Minerals,284.643
Afghanistan,Iraq,Minerals,20.99
Afghanistan,Italy,Minerals,127.738
Afghanistan,Pakistan,Minerals,220.27900000000002
Afghanistan,Saudi Arabia,Minerals,0.094
Afghanistan,Tajikistan,Minerals,2.5
Afghanistan,Turkmenistan,Minerals,0.18899999999999997
Afghanistan,Turkey,Minerals,11.718
Afghanistan,United States,Minerals,0.2
Afghanistan, World,Minerals,1149.3010000000002
Albania,Austria,Minerals,18.005
Albania,Belgium,Minerals,0.006999999999999999
Albania,Bulgaria,Minerals,113.937
Albania,Canada,Minerals,2.839
Albania,Switzerland,Minerals,11245.881000000001
Albania,China,Minerals,47632.91099999999
Albania,Cayman Islands,Minerals,4143.93
Albania,Cyprus,Minerals,18.949
Albania,Czech Republic,Minerals,16.705
Albania,Germany,Minerals,200.222
Albania,"Egypt, Arab Rep.",Minerals,1288.362
Albania,France,Minerals,409.87699999999995
Albania,United Kingdom,Minerals,161.416
Albania,Greece,Minerals,1050.944
Albania,"Hong Kong, China",Minerals,572.258
Albania,India,Minerals,1130.451
Albania,Ireland,Minerals,0.139
Albania,Iceland,Minerals,826.794
Albania,Italy,Minerals,18374.186999999998
Albania,Japan,Minerals,0.07
Albania,Libya,Minerals,1515.6729999999998
Albania,"Macedonia, FYR",Minerals,15900.253999999999
Albania,Malaysia,Minerals,3.4730000000000003
Albania,Norway,Minerals,0.013999999999999999
Albania,Poland,Minerals,23.365
Albania,Romania,Minerals,0.16699999999999998
Albania,"Serbia, FR(Serbia/Montenegro)",Minerals,27386.001
Albania,Slovak Republic,Minerals,3.9389999999999996
Albania,Turkey,Minerals,30140.129
Albania,United States,Minerals,4.292
Albania, World,Minerals,168973.695
Andorra,Switzerland,Minerals,7.702999999999999
Andorra,Spain,Minerals,227.201
Andorra,France,Minerals,1.255
Andorra, World,Minerals,236.15900000000002
United Arab Emirates,Afghanistan,Minerals,144.007
United Arab Emirates,Angola,Minerals,57.672
United Arab Emirates,Australia,Minerals,13.547
United Arab Emirates,Austria,Minerals,0.22399999999999998
United Arab Emirates,Azerbaijan,Minerals,71.33800000000001
United Arab Emirates,Burundi,Minerals,5.391
United Arab Emirates,Belgium,Minerals,2.378
United Arab Emirates,Bangladesh,Minerals,4873.536
United Arab Emirates,Bahrain,Minerals,53644.33
United Arab Emirates,Belarus,Minerals,0.06
United Arab Emirates,Brazil,Minerals,11177.007
United Arab Emirates,Canada,Minerals,7.547999999999999
United Arab Emirates,China,Minerals,26364.496
United Arab Emirates,Cote d'Ivoire,Minerals,5.22
United Arab Emirates,Cameroon,Minerals,111.669
United Arab Emirates,"Congo, Rep.",Minerals,84.12100000000001
United Arab Emirates,Comoros,Minerals,21.241999999999997
United Arab Emirates,Cyprus,Minerals,25.14
United Arab Emirates,Germany,Minerals,5.428
United Arab Emirates,Djibouti,Minerals,5227.1
United Arab Emirates,Denmark,Minerals,0.009000000000000001
United Arab Emirates,Dominican Republic,Minerals,9.798
United Arab Emirates,Algeria,Minerals,150.724
United Arab Emirates,"Egypt, Arab Rep.",Minerals,29.929000000000002
United Arab Emirates,Eritrea,Minerals,1503.674
United Arab Emirates,Estonia,Minerals,44.326
United Arab Emirates,Ethiopia(excludes Eritrea),Minerals,1968.23
United Arab Emirates,Finland,Minerals,0.005
United Arab Emirates,Fiji,Minerals,9.292
United Arab Emirates,France,Minerals,5.807
United Arab Emirates,Gabon,Minerals,1015.8710000000001
United Arab Emirates,United Kingdom,Minerals,99.686
United Arab Emirates,Ghana,Minerals,23067.74
United Arab Emirates,Equatorial Guinea,Minerals,26.011999999999997
United Arab Emirates,"Hong Kong, China",Minerals,0.623
United Arab Emirates,Indonesia,Minerals,776.097
United Arab Emirates,India,Minerals,94739.31
United Arab Emirates,"Iran, Islamic Rep.",Minerals,14240.487
United Arab Emirates,Iraq,Minerals,25312.996
United Arab Emirates,Iceland,Minerals,21.938000000000002
United Arab Emirates,Italy,Minerals,1.1520000000000001
United Arab Emirates,Jordan,Minerals,277.26800000000003
United Arab Emirates,Kazakhstan,Minerals,6.24
United Arab Emirates,Kenya,Minerals,33461.706
United Arab Emirates,Kyrgyz Republic,Minerals,3.258
United Arab Emirates,"Korea, Rep.",Minerals,516.999
United Arab Emirates,Kuwait,Minerals,154422.475
United Arab Emirates,Lebanon,Minerals,28.069000000000003
United Arab Emirates,Liberia,Minerals,101.31
United Arab Emirates,Libya,Minerals,529.443
United Arab Emirates,Sri Lanka,Minerals,3876.4800000000014
United Arab Emirates,Lithuania,Minerals,16.476
United Arab Emirates,Madagascar,Minerals,1315.4520000000002
United Arab Emirates,Maldives,Minerals,14.787
United Arab Emirates,Mali,Minerals,11.538
United Arab Emirates,Malta,Minerals,30.598000000000003
United Arab Emirates,Myanmar,Minerals,0.08
United Arab Emirates,Mozambique,Minerals,13606.703000000001
United Arab Emirates,Mauritius,Minerals,3780.034
United Arab Emirates,Malaysia,Minerals,286.047
United Arab Emirates,Nigeria,Minerals,4427.6979999999985
United Arab Emirates,Netherlands,Minerals,92.31299999999999
United Arab Emirates,Norway,Minerals,0.15
United Arab Emirates,New Zealand,Minerals,59.573
United Arab Emirates,Oman,Minerals,13650.615
United Arab Emirates,Pakistan,Minerals,3102.875
United Arab Emirates,Qatar,Minerals,146463.90300000002
United Arab Emirates,Russian Federation,Minerals,28.136
