Reporter Name,Partner Name,Product Group,1996
Albania,Switzerland,Plastic or Rubber,13.454
Albania,Germany,Plastic or Rubber,4.522
Albania,Greece,Plastic or Rubber,164.827
Albania,Italy,Plastic or Rubber,707.049
Albania,"Macedonia, FYR",Plastic or Rubber,113.866
Albania,"Serbia, FR(Serbia/Montenegro)",Plastic or Rubber,91.381
Albania,Turkey,Plastic or Rubber,3.614
Albania,Unspecified,Plastic or Rubber,2.734
Albania, World,Plastic or Rubber,1101.447
Andorra,Spain,Plastic or Rubber,182.84900000000002
Andorra,France,Plastic or Rubber,1227.737
Andorra,Unspecified,Plastic or Rubber,3.6719999999999997
Andorra, World,Plastic or Rubber,1414.2579999999998
Argentina,United Arab Emirates,Plastic or Rubber,12.267000000000001
Argentina,Australia,Plastic or Rubber,772.9970000000002
Argentina,Austria,Plastic or Rubber,4.06
Argentina,Bangladesh,Plastic or Rubber,19.0
Argentina,Belgium-Luxembourg,Plastic or Rubber,777.9150000000002
Argentina,Bolivia,Plastic or Rubber,12183.743999999999
Argentina,Brazil,Plastic or Rubber,224959.76
Argentina,Barbados,Plastic or Rubber,51.388000000000005
Argentina,Canada,Plastic or Rubber,161.70100000000005
Argentina,Switzerland,Plastic or Rubber,95.22200000000001
Argentina,Chile,Plastic or Rubber,66344.823
Argentina,China,Plastic or Rubber,2248.536
Argentina,Cote d'Ivoire,Plastic or Rubber,262.29
Argentina,Colombia,Plastic or Rubber,5744.2880000000005
Argentina,Costa Rica,Plastic or Rubber,71.38300000000002
Argentina,Cuba,Plastic or Rubber,713.0409999999998
Argentina,Czech Republic,Plastic or Rubber,29.24
Argentina,Germany,Plastic or Rubber,562.19
Argentina,Dominica,Plastic or Rubber,1.406
Argentina,Denmark,Plastic or Rubber,18.444000000000003
Argentina,Dominican Republic,Plastic or Rubber,601.385
Argentina,Algeria,Plastic or Rubber,44.526
Argentina,Ecuador,Plastic or Rubber,5522.383000000001
Argentina,"Egypt, Arab Rep.",Plastic or Rubber,943.216
Argentina,Spain,Plastic or Rubber,2055.573
