Reporter Name,Partner Name,Product Group,2011
Aruba,Belgium,Textiles and Clothing,0.015
Aruba,Canada,Textiles and Clothing,0.102
Aruba,Colombia,Textiles and Clothing,22.309
Aruba,Spain,Textiles and Clothing,173.615
Aruba,France,Textiles and Clothing,101.38
Aruba,United Kingdom,Textiles and Clothing,14.134
Aruba,Jamaica,Textiles and Clothing,2.653
Aruba,Mexico,Textiles and Clothing,0.637
Aruba,Netherlands,Textiles and Clothing,108.01100000000001
Aruba,Panama,Textiles and Clothing,6.5230000000000015
Aruba,Suriname,Textiles and Clothing,10.770999999999999
Aruba,Trinidad and Tobago,Textiles and Clothing,0.922
Aruba,Turkey,Textiles and Clothing,0.755
Aruba,Unspecified,Textiles and Clothing,33.265
Aruba,United States,Textiles and Clothing,36.927
Aruba,Venezuela,Textiles and Clothing,28.768999999999995
Aruba, World,Textiles and Clothing,637.937
Afghanistan,United Arab Emirates,Textiles and Clothing,783.3969999999999
Afghanistan,Australia,Textiles and Clothing,16.730999999999998
Afghanistan,Canada,Textiles and Clothing,64.38600000000001
Afghanistan,China,Textiles and Clothing,85.833
Afghanistan,Germany,Textiles and Clothing,457.56
Afghanistan,United Kingdom,Textiles and Clothing,144.452
Afghanistan,India,Textiles and Clothing,139.09
Afghanistan,"Iran, Islamic Rep.",Textiles and Clothing,17.721
Afghanistan,Italy,Textiles and Clothing,1260.369
Afghanistan,Pakistan,Textiles and Clothing,43575.99
Afghanistan,Russian Federation,Textiles and Clothing,157.156
Afghanistan,Turkey,Textiles and Clothing,1385.8829999999998
Afghanistan,United States,Textiles and Clothing,1027.5919999999999
Afghanistan, World,Textiles and Clothing,49116.16
Albania,Afghanistan,Textiles and Clothing,0.7390000000000001
Albania,United Arab Emirates,Textiles and Clothing,46.147
Albania,Austria,Textiles and Clothing,102.941
Albania,Azerbaijan,Textiles and Clothing,2.865
Albania,Belgium,Textiles and Clothing,145.275
Albania,Bulgaria,Textiles and Clothing,35.851
Albania,Bosnia and Herzegovina,Textiles and Clothing,7.275
Albania,Brazil,Textiles and Clothing,0.255
Albania,Canada,Textiles and Clothing,7.465
Albania,Switzerland,Textiles and Clothing,1.3019999999999998
Albania,Czech Republic,Textiles and Clothing,108.14
Albania,Germany,Textiles and Clothing,24037.847
Albania,"Egypt, Arab Rep.",Textiles and Clothing,3.785
Albania,Spain,Textiles and Clothing,192.71599999999998
Albania,Estonia,Textiles and Clothing,0.624
Albania,France,Textiles and Clothing,4772.6860000000015
Albania,United Kingdom,Textiles and Clothing,21.642
Albania,"Gambia, The",Textiles and Clothing,0.001
Albania,Greece,Textiles and Clothing,30924.165
Albania,Greenland,Textiles and Clothing,0.261
Albania,Honduras,Textiles and Clothing,0.001
Albania,Croatia,Textiles and Clothing,8.854
Albania,Iceland,Textiles and Clothing,1.162
Albania,Israel,Textiles and Clothing,1.161
Albania,Italy,Textiles and Clothing,271548.847
Albania,Jordan,Textiles and Clothing,20.799
Albania,"Korea, Rep.",Textiles and Clothing,0.337
Albania,Lebanon,Textiles and Clothing,1.043
Albania,Sri Lanka,Textiles and Clothing,2.176
Albania,"Macedonia, FYR",Textiles and Clothing,1180.366
Albania,Malta,Textiles and Clothing,0.408
Albania,Mozambique,Textiles and Clothing,0.7190000000000001
Albania,Netherlands,Textiles and Clothing,192.553
Albania,Norway,Textiles and Clothing,0.001
Albania,Poland,Textiles and Clothing,1.022
Albania,Romania,Textiles and Clothing,0.2
Albania,Russian Federation,Textiles and Clothing,1.107
Albania,Fm Sudan,Textiles and Clothing,0.818
Albania,"Serbia, FR(Serbia/Montenegro)",Textiles and Clothing,623.1970000000001
Albania,Slovenia,Textiles and Clothing,9.927999999999999
Albania,Sweden,Textiles and Clothing,3.605
Albania,Tunisia,Textiles and Clothing,0.001
Albania,Turkey,Textiles and Clothing,441.49099999999993
Albania,Tanzania,Textiles and Clothing,5.557
Albania,United States,Textiles and Clothing,98.73700000000001
Albania, World,Textiles and Clothing,334580.096
Andorra,United Arab Emirates,Textiles and Clothing,0.544
Andorra,Argentina,Textiles and Clothing,0.07400000000000001
Andorra,Austria,Textiles and Clothing,0.6
Andorra,Belgium,Textiles and Clothing,123.53799999999998
Andorra,Brazil,Textiles and Clothing,0.152
Andorra,Canada,Textiles and Clothing,0.073
Andorra,Switzerland,Textiles and Clothing,135.922
Andorra,Chile,Textiles and Clothing,5.063
Andorra,Colombia,Textiles and Clothing,0.198
Andorra,Czech Republic,Textiles and Clothing,4.106999999999998
Andorra,Germany,Textiles and Clothing,69.669
Andorra,Denmark,Textiles and Clothing,2.654
Andorra,"Egypt, Arab Rep.",Textiles and Clothing,1.23
Andorra,Spain,Textiles and Clothing,7542.871999999999
Andorra,Finland,Textiles and Clothing,0.028999999999999998
Andorra,France,Textiles and Clothing,1837.364
Andorra,United Kingdom,Textiles and Clothing,37.736999999999995
Andorra,Greece,Textiles and Clothing,4.732
Andorra,Guatemala,Textiles and Clothing,5.791
Andorra,Ireland,Textiles and Clothing,2.106
Andorra,Italy,Textiles and Clothing,353.9410000000001
Andorra,Japan,Textiles and Clothing,0.293
Andorra,Netherlands,Textiles and Clothing,332.446
Andorra,Norway,Textiles and Clothing,0.19699999999999998
Andorra,Poland,Textiles and Clothing,0.247
Andorra,Portugal,Textiles and Clothing,12.621
Andorra,Romania,Textiles and Clothing,2.323
Andorra,Russian Federation,Textiles and Clothing,0.389
Andorra,Slovak Republic,Textiles and Clothing,0.01
Andorra,Slovenia,Textiles and Clothing,2.768
Andorra,Sweden,Textiles and Clothing,0.017
Andorra,Uruguay,Textiles and Clothing,0.002
Andorra,United States,Textiles and Clothing,2.371
Andorra,Venezuela,Textiles and Clothing,0.002
Andorra, World,Textiles and Clothing,10482.079
United Arab Emirates,Afghanistan,Textiles and Clothing,15132.438
United Arab Emirates,Angola,Textiles and Clothing,4953.123000000001
United Arab Emirates,Albania,Textiles and Clothing,314.197
United Arab Emirates,Andorra,Textiles and Clothing,63.94200000000001
United Arab Emirates,Argentina,Textiles and Clothing,1758.195
United Arab Emirates,Armenia,Textiles and Clothing,8224.738000000001
United Arab Emirates,Australia,Textiles and Clothing,23632.751000000004
United Arab Emirates,Austria,Textiles and Clothing,120.35399999999998
United Arab Emirates,Azerbaijan,Textiles and Clothing,6027.0149999999985
United Arab Emirates,Burundi,Textiles and Clothing,135.46200000000002
United Arab Emirates,Belgium,Textiles and Clothing,30098.659
United Arab Emirates,Benin,Textiles and Clothing,11620.935999999998
United Arab Emirates,Burkina Faso,Textiles and Clothing,24.65
United Arab Emirates,Bangladesh,Textiles and Clothing,1427.495
United Arab Emirates,Bulgaria,Textiles and Clothing,226.485
United Arab Emirates,Bahrain,Textiles and Clothing,140106.293
