Reporter Name,Partner Name,Product Group,1990
Australia,Afghanistan,Wood,24.296999999999997
Australia,Netherlands Antilles,Wood,14.491
Australia,United Arab Emirates,Wood,54.919
Australia,Argentina,Wood,21.555
Australia,Austria,Wood,450.189
Australia,Bangladesh,Wood,26.031999999999996
Australia,Bahrain,Wood,16.849
Australia,Belgium-Luxembourg,Wood,2058.513
Australia,Brazil,Wood,84.37299999999999
Australia,Barbados,Wood,4.385
Australia,Brunei,Wood,12.12
Australia,Bhutan,Wood,1.168
Australia,Canada,Wood,1764.602
Australia,Cocos (Keeling) Islands,Wood,217.617
Australia,Switzerland,Wood,233.39300000000003
Australia,Chile,Wood,1.6350000000000002
Australia,China,Wood,13129.615000000002
Australia,Cook Islands,Wood,46.6
Australia,Czechoslovakia,Wood,21.516
Australia,Cuba,Wood,45.463
Australia,Christmas Island,Wood,202.443
Australia,Cyprus,Wood,196.922
Australia,Germany,Wood,2662.725
Australia,Denmark,Wood,614.123
Australia,Spain,Wood,99.419
Australia,Ethiopia(includes Eritrea),Wood,22.273000000000003
Australia,Finland,Wood,24.803
Australia,Fiji,Wood,3720.862
Australia,Falkland Island,Wood,16.542
Australia,France,Wood,377.829
Australia,United Kingdom,Wood,13714.515
Australia,Ghana,Wood,29.291
Australia,Greece,Wood,14.736999999999998
Australia,Guatemala,Wood,3.987
Australia,"Hong Kong, China",Wood,28459.98
Australia,Hungary,Wood,6.539
Australia,Indonesia,Wood,7048.611
Australia,India,Wood,4297.562
Australia,Ireland,Wood,40.158
Australia,Iraq,Wood,32.111
Australia,Iceland,Wood,46.663999999999994
Australia,Israel,Wood,59.282
Australia,Italy,Wood,328.14599999999996
Australia,Jamaica,Wood,6.474
Australia,Jordan,Wood,1.8559999999999999
Australia,Japan,Wood,311742.362
Australia,Kenya,Wood,0.545
Australia,Cambodia,Wood,0.7
Australia,Kiribati,Wood,236.1
Australia,"Korea, Rep.",Wood,6227.240000000002
Australia,Kuwait,Wood,12.579
Australia,Lao PDR,Wood,0.667
Australia,Sri Lanka,Wood,472.64300000000003
Australia,Macao,Wood,27.877
Australia,Maldives,Wood,1.0959999999999999
Australia,Mexico,Wood,7.397
Australia,Myanmar,Wood,3.571
Australia,Mauritius,Wood,257.55400000000003
Australia,Malawi,Wood,18.082
Australia,Malaysia,Wood,15781.570999999998
Australia,New Caledonia,Wood,593.054
Australia,Norfolk Island,Wood,172.56799999999996
Australia,Nigeria,Wood,2.344
Australia,Netherlands,Wood,841.952
Australia,Norway,Wood,12.507
Australia,Nepal,Wood,97.261
Australia,Nauru,Wood,1635.285
Australia,New Zealand,Wood,109533.61099999999
Australia,Oman,Wood,56.13500000000001
Australia,Pakistan,Wood,274.76300000000003
Australia,Panama,Wood,3.122
Australia,Pacific Islands,Wood,36.243
Australia,Pitcairn,Wood,1.685
