Reporter Name,Partner Name,Product Group,2000
Aruba,Netherlands Antilles,Animal,1344.626
Aruba,Netherlands Antilles,Chemicals,859.9709999999999
Aruba,Netherlands Antilles,Food Products,3201.1020000000003
Aruba,Netherlands Antilles,Mach and Elec,231.24599999999998
Aruba,Netherlands Antilles,Minerals,0.201
Aruba,Netherlands Antilles,Plastic or Rubber,164.01600000000005
Aruba,Netherlands Antilles,Textiles and Clothing,175.459
Aruba,Netherlands Antilles,Wood,91.87100000000001
Aruba,United Arab Emirates,Food Products,0.9329999999999999
Aruba,Argentina,Food Products,20.184
Aruba,Argentina,Mach and Elec,5.5920000000000005
Aruba,Argentina,Plastic or Rubber,0.29100000000000004
Aruba,Argentina,Textiles and Clothing,2.19
Aruba,Argentina,Wood,0.195
Aruba,Antigua and Barbuda,Animal,16.866
Aruba,Antigua and Barbuda,Food Products,5.899
Aruba,Antigua and Barbuda,Wood,24.335
Aruba,Australia,Animal,11.447000000000001
Aruba,Australia,Food Products,1.179
Aruba,Australia,Mach and Elec,0.17300000000000001
Aruba,Belgium,Food Products,879.19
Aruba,"Bahamas, The",Chemicals,23.397
Aruba,Bermuda,Chemicals,33.793
Aruba,Bermuda,Textiles and Clothing,0.022000000000000002
Aruba,Brazil,Food Products,16.665
Aruba,Brazil,Mach and Elec,189.324
Aruba,Brazil,Minerals,0.17300000000000001
Aruba,Brazil,Plastic or Rubber,2.866
Aruba,Brazil,Textiles and Clothing,0.687
Aruba,Brazil,Wood,1.151
Aruba,Barbados,Textiles and Clothing,26.19
Aruba,Central African Republic,Animal,97.441
Aruba,Canada,Animal,0.598
Aruba,Canada,Food Products,12.447000000000001
Aruba,Canada,Mach and Elec,0.33
Aruba,Switzerland,Animal,0.648
Aruba,Switzerland,Food Products,0.11199999999999999
Aruba,Chile,Food Products,5.978
Aruba,China,Animal,18.743
Aruba,Colombia,Animal,7448.48
Aruba,Colombia,Chemicals,8869.876999999999
Aruba,Colombia,Food Products,35732.848999999995
Aruba,Colombia,Mach and Elec,250.419
Aruba,Colombia,Plastic or Rubber,205.827
Aruba,Colombia,Textiles and Clothing,25.076999999999998
Aruba,Colombia,Wood,9.503
Aruba,Costa Rica,Mach and Elec,14.715
Aruba,Cuba,Animal,3.469
Aruba,Cuba,Food Products,172.324
Aruba,Cuba,Wood,0.055999999999999994
Aruba,Cayman Islands,Mach and Elec,0.017
Aruba,Cayman Islands,Textiles and Clothing,16.369
Aruba,Cyprus,Animal,26.838
Aruba,Cyprus,Mach and Elec,0.034
Aruba,Germany,Animal,393.93300000000005
Aruba,Germany,Food Products,1782.6589999999999
Aruba,Denmark,Mach and Elec,84.821
Aruba,Denmark,Textiles and Clothing,1.006
Aruba,Denmark,Wood,0.151
Aruba,Dominican Republic,Animal,36.391
Aruba,Dominican Republic,Food Products,5.62
Aruba,Dominican Republic,Mach and Elec,2.011
Aruba,Dominican Republic,Textiles and Clothing,1.112
Aruba,Dominican Republic,Wood,0.14
Aruba,Spain,Animal,34.922
Aruba,Spain,Food Products,2895.938
Aruba,Spain,Mach and Elec,25.14
Aruba,France,Food Products,9.899
Aruba,United Kingdom,Animal,3.67
Aruba,United Kingdom,Chemicals,0.45799999999999996
Aruba,United Kingdom,Food Products,59.56399999999999
Aruba,Greece,Food Products,236.106
Aruba,Grenada,Textiles and Clothing,6.028
Aruba,"Hong Kong, China",Plastic or Rubber,12.279000000000002
Aruba,Honduras,Animal,140.028
Aruba,Honduras,Chemicals,1.838
Aruba,Honduras,Food Products,1.682
Aruba,Honduras,Mach and Elec,10.347000000000001
Aruba,Honduras,Plastic or Rubber,1.9780000000000002
Aruba,Honduras,Textiles and Clothing,2.575
Aruba,Honduras,Wood,1.933
Aruba,Haiti,Mach and Elec,0.084
Aruba,Haiti,Textiles and Clothing,1.86
Aruba,Jamaica,Wood,1.955
Aruba,Japan,Wood,0.11699999999999999
Aruba,St. Kitts and Nevis,Plastic or Rubber,0.17300000000000001
Aruba,St. Kitts and Nevis,Textiles and Clothing,2.2119999999999997
Aruba,St. Kitts and Nevis,Wood,0.011000000000000001
Aruba,Lebanon,Mach and Elec,3.688
Aruba,St. Lucia,Mach and Elec,0.022000000000000002
Aruba,St. Lucia,Textiles and Clothing,6.989
Aruba,Mexico,Food Products,37.832
Aruba,Mexico,Mach and Elec,1.1059999999999999
Aruba,Nicaragua,Mach and Elec,0.81
Aruba,Netherlands,Animal,909.313
Aruba,Netherlands,Chemicals,3.8489999999999998
Aruba,Netherlands,Food Products,39967.279
Aruba,Netherlands,Mach and Elec,137.67
Aruba,Netherlands,Plastic or Rubber,13.089
Aruba,Netherlands,Textiles and Clothing,3.005
